"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TWO^A","Two Harbors Investments Corp","27.04","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/two^a",
"TYL","Tyler Technologies, Inc.","177.34","$6.58B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tyl",
"TSN","Tyson Foods, Inc.","61.88","$22.17B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/tsn",
"USB","U.S. Bancorp","52.12","$33.53B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb",
"USB^A","U.S. Bancorp","889.69","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb^a",
"USB^H","U.S. Bancorp","24.34","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^h",
"USB^M","U.S. Bancorp","29.79","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^m",
"USB^O","U.S. Bancorp","26.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^o",
"USPH","U.S. Physical Therapy, Inc.","62.2","$782.35M","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/usph",
"SLCA","U.S. Silica Holdings, Inc.","30.6","$2.48B","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/slca",
"UBS","UBS AG","17.66","$65.59B","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/ubs",
